hh_state,num_hh_all,num_hh
VT,42,36
SD,74,58
ND,78,67
WY,81,70
DC,82,73
NE,119,97
WV,112,100
NM,122,106
ME,132,110
ID,139,114
MT,135,114
UT,147,118
DE,143,122
NV,152,124
NH,176,149
RI,186,168
KS,202,173
OR,266,220
CT,273,224
SC,327,278
MS,360,310
IA,379,330
IN,454,393
VA,474,404
AR,484,420
WI,515,431
OK,568,481
MD,601,502
LA,589,513
NJ,797,666
TN,797,683
KY,803,690
AL,814,701
MA,970,843
GA,1105,932
MI,1164,985
MO,1150,993
CO,1159,999
AZ,1296,1081
MN,1301,1125
WA,1398,1194
PA,1416,1229
NC,1451,1252
IL,1806,1549
OH,1965,1676
NY,2482,2109
FL,2820,2342
TX,3603,3086
CA,3868,3261
