DATE,CASTHPI
1975-01-01,41.59
1975-04-01,42.72
1975-07-01,44.23
1975-10-01,45.8
1976-01-01,47.74
1976-04-01,50.18
1976-07-01,53.52
1976-10-01,55.46
1977-01-01,57.95
1977-04-01,62.94
1977-07-01,67.88
1977-10-01,70.6
1978-01-01,73.16
1978-04-01,75.93
1978-07-01,78.54
1978-10-01,81.61
1979-01-01,84.81
1979-04-01,88.57
1979-07-01,93.06
1979-10-01,96.33
1980-01-01,100.00
1980-04-01,102.86
1980-07-01,106.53
1980-10-01,108.4
1981-01-01,110.62
1981-04-01,113.06
1981-07-01,116.48
1981-10-01,117.74
1982-01-01,115.26
1982-04-01,116.39
1982-07-01,116.98
1982-10-01,116.9
1983-01-01,117.73
1983-04-01,117.69
1983-07-01,117.48
1983-10-01,117.93
1984-01-01,119.72
1984-04-01,120.31
1984-07-01,121.79
1984-10-01,122.87
1985-01-01,124.61
1985-04-01,126.43
1985-07-01,129.24
1985-10-01,130.65
1986-01-01,132.31
1986-04-01,134.87
1986-07-01,137.78
1986-10-01,141.12
1987-01-01,144.75
1987-04-01,148.28
1987-07-01,152.94
1987-10-01,157.29
1988-01-01,163.03
1988-04-01,169.77
1988-07-01,177.85
1988-10-01,187.61
1989-01-01,196.37
1989-04-01,206.07
1989-07-01,217.93
1989-10-01,224.81
1990-01-01,227.56
1990-04-01,228.34
1990-07-01,230.25
1990-10-01,228.7
1991-01-01,228.54
1991-04-01,227.08
1991-07-01,227.08
1991-10-01,228.77
1992-01-01,227.54
1992-04-01,225.19
1992-07-01,224.75
1992-10-01,222.66
1993-01-01,219.16
1993-04-01,217.28
1993-07-01,215.44
1993-10-01,214.16
1994-01-01,212.03
1994-04-01,206.9
1994-07-01,203.84
1994-10-01,200.88
1995-01-01,199.54
1995-04-01,201.48
1995-07-01,203.85
1995-10-01,203.52
1996-01-01,203.47
1996-04-01,200.85
1996-07-01,200.47
1996-10-01,201.51
1997-01-01,202.47
1997-04-01,204.51
1997-07-01,208.61
1997-10-01,212.19
1998-01-01,216.81
1998-04-01,221.45
1998-07-01,227.24
1998-10-01,231.58
1999-01-01,235.15
1999-04-01,239.17
1999-07-01,244.63
1999-10-01,249.84
2000-01-01,260.69
2000-04-01,267.72
2000-07-01,276.67
2000-10-01,285.22
2001-01-01,296.23
2001-04-01,305.26
2001-07-01,311.7
2001-10-01,316.09
2002-01-01,324.53
2002-04-01,335.56
2002-07-01,348.17
2002-10-01,358.34
2003-01-01,366.61
2003-04-01,373.45
2003-07-01,386.09
2003-10-01,410.81
2004-01-01,423.99
2004-04-01,450.55
2004-07-01,496.31
2004-10-01,515.32
2005-01-01,537.76
2005-04-01,569.19
2005-07-01,597.41
2005-10-01,624.02
2006-01-01,636.91
2006-04-01,642.61
2006-07-01,644.71
2006-10-01,640.9
2007-01-01,632.2
2007-04-01,621.43
2007-07-01,598.24
2007-10-01,573.9
2008-01-01,541.76
2008-04-01,497.05
2008-07-01,459.42
2008-10-01,443.53
2009-01-01,439.38
2009-04-01,419.31
2009-07-01,410.1
2009-10-01,411.36
2010-01-01,408.39
2010-04-01,407.18
2010-07-01,409.25
2010-10-01,404.64
2011-01-01,390.4
2011-04-01,384.07
2011-07-01,385.39
2011-10-01,384.05
2012-01-01,379.65
2012-04-01,380.34
2012-07-01,388.57
2012-10-01,396.52
2013-01-01,405.44
2013-04-01,424.51
2013-07-01,448.1
2013-10-01,463.16
2014-01-01,473.12
2014-04-01,485.59
2014-07-01,495.86
2014-10-01,501.43
2015-01-01,505.79
2015-04-01,517.96
2015-07-01,532.29
2015-10-01,539.61
2016-01-01,546.53
2016-04-01,556.09
2016-07-01,567.37
2016-10-01,575.72
2017-01-01,586.22
2017-04-01,599.38
2017-07-01,611.24
2017-10-01,621.59
2018-01-01,634.39
2018-04-01,649.22
2018-07-01,658.47
2018-10-01,659.79
2019-01-01,663.99
2019-04-01,671.58
2019-07-01,678.03
2019-10-01,682.53
